plant_name_id|ipni_id|taxon_rank|taxon_status|family|genus_hybrid|genus|species_hybrid|species|infraspecific_rank|infraspecies|parenthetical_author|primary_author|publication_author|place_of_publication|volume_and_page|first_published|nomenclatural_remarks|geographic_area|lifeform_description|climate_description|taxon_name|taxon_authors|accepted_plant_name_id|basionym_plant_name_id|homotypic_synonym
621905-az|44963-1|Species|Synonym|Acanthaceae||Adenosma||polysperma||||Spreng.||Syst. Veg.|2: 829|(1825)|||||Adenosma polysperma|Spreng.|856807-az||
621909-az|44964-1|Species|Synonym|Acanthaceae||Adenosma||spatulata||||Blume||Bijdr. Fl. Ned. Ind.|: 737|(1826)|||||Adenosma spatulata|Blume|478419-az||T
621914-az|44966-1|Species|Synonym|Acanthaceae||Adenosma||thymus||||Nees|N.Wallich|Pl. Asiat. Rar.|3: 79|(1832)|||Chamaephyte|Wet Tropical|Adenosma thymus|Nees|996110-az||T
621916-az|44968-1|Species|Synonym|Acanthaceae||Adenosma||uliginosa|||L.f.|Nees|R.Brown|Verm. Bot. Schr.|3: 298|(1827)|||||Adenosma uliginosa|(L.f.) Nees|856715-az|420702-az|T
621917-az|44969-1|Species|Synonym|Acanthaceae||Adenosma||verticillata||||Nees|A.P.de Candolle|Prodr.|11: 69|(1847)|||||Adenosma verticillata|Nees|856667-az||
621869-az|352-1|Genus|Illegitimate|Acanthaceae||Adenosma||||||Nees|N.Wallich|Pl. Asiat. Rar.|3: 75|(1832)|, nom. illeg.||||Adenosma|Nees|856651-az||
621920-az||Species|Synonym|Acanthaceae||Adenostachya||comosa|||Benoist|Bremek.||Dansk Bot. Ark.|20: 69|(1961)|||||Adenostachya comosa|(Benoist) Bremek.|476746-az|478343-az|
621921-az|44970-1|Species|Synonym|Acanthaceae||Adenostachya||moschifera|||Blume|Bremek.||Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Sect. 2|, 41(1): 192|(1944)|||||Adenostachya moschifera|(Blume) Bremek.|476746-az|476746-az|T
621922-az|44971-1|Species|Synonym|Acanthaceae||Adenostachya||parvifolia||||Bremek.||Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Sect. 2|, 41(1): 192|(1944)|||||Adenostachya parvifolia|Bremek.|476746-az||
621923-az|44972-1|Species|Synonym|Acanthaceae||Adenostachya||plurispica||||Bremek.||Dansk Bot. Ark.|20: 69|(1961)|||||Adenostachya plurispica|Bremek.|476746-az||
621919-az|353-1|Genus|Synonym|Acanthaceae||Adenostachya||||||Bremek.||Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Sect. 2|, 41(1): 59|(1944)|||||Adenostachya|Bremek.|478629-az||
622394-az|44973-1|Species|Synonym|Acanthaceae||Adhatoda||acuminata|||Hochst.|Nees|A.P.de Candolle|Prodr.|11: 400|(1847)|||||Adhatoda acuminata|(Hochst.) Nees|330627-az|436823-az|
